"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
NA,NA,NA,NA,NA,NA,181,131,161,NA
NA,NA,NA,NA,NA,NA,181,131,NA,NA
NA,NA,NA,NA,NA,NA,181,131,161,NA
NA,NA,NA,NA,NA,NA,181,131,161,NA
NA,NA,NA,NA,NA,NA,181,131,161,NA
NA,NA,NA,NA,NA,NA,181,NA,161,NA
NA,144,141,150,146,185,150,147,158,141
NA,144,141,150,146,185,150,147,158,141
NA,144,141,150,146,185,150,147,158,141
NA,144,141,150,146,185,150,147,158,141
NA,144,141,150,146,185,150,147,158,141
NA,NA,NA,NA,NA,185,150,147,NA,141
NA,NA,NA,150,NA,185,150,147,NA,NA
NA,144,141,150,146,185,150,147,158,141
NA,NA,NA,150,146,185,NA,147,NA,NA
NA,NA,NA,NA,NA,185,150,147,NA,141
NA,NA,NA,150,146,NA,NA,NA,NA,NA
NA,NA,NA,150,146,NA,NA,NA,158,NA
NA,NA,NA,150,146,NA,NA,NA,NA,NA
NA,NA,NA,NA,146,185,NA,NA,158,NA
NA,NA,NA,150,146,185,NA,NA,NA,NA
NA,NA,NA,150,146,185,NA,NA,NA,NA
NA,NA,NA,150,146,185,NA,NA,158,NA
NA,NA,NA,150,146,185,NA,NA,NA,141
NA,NA,NA,150,146,185,NA,NA,NA,NA
NA,NA,NA,150,146,185,NA,NA,158,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
187,172,164,NA,NA,NA,NA,NA,NA,NA
187,172,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
