"parameter","Est","SE","lower","upper","p","simulation"
"rho - (Intercept)",-0.937907095502477,0.124110438778687,-1.18115908561417,-0.694655105390788,4.12356804324454e-14,4
"rho - x",0.469776137691667,0.131423919526262,0.212189988713103,0.727362286670232,0.000350884166982716,4
"psi - (Intercept)",0.297613056439512,0.294482628565154,-0.279562289620877,0.8747884024999,0.312193425627674,5
"psi - x",0.801387321094535,0.201610376973188,0.406238243317543,1.19653639887153,7.03996873340074e-05,5
"psi - theta",0.373769898243474,0.467055466171816,-0.54164199423585,1.2891817907228,0.423555099550259,5
"rho - (Intercept)",-0.789100995636813,0.114479851609505,-1.01347738174693,-0.564724609526693,5.46568143259586e-12,5
"rho - x",0.503601376106326,0.0991281016570872,0.30931386700261,0.697888885210042,3.76821650481151e-07,5
"psi - (Intercept)",0.502826761111845,0.300266618700661,-0.0856849973010715,1.09133851952476,0.0940125552594808,6
"psi - x",1.29166256705239,0.307159138014208,0.689641719022175,1.89368341508261,2.60862800101813e-05,6
"psi - theta",-0.486526440725066,0.373542999780282,-1.21865726697147,0.24560438552134,0.192757696851444,6
"rho - (Intercept)",-0.805589428024085,0.117729956375288,-1.03633590242112,-0.574842953627049,7.77204904015485e-12,6
"rho - x",0.164258596714569,0.122907115613641,-0.0766349233318674,0.405152116761006,0.181403875234764,6
"psi - (Intercept)",0.822122421535027,0.426582506060643,-0.0139639267786729,1.65820876984873,0.0539510258535257,7
"psi - x",0.779952489270718,0.282178366371992,0.226893053965265,1.33301192457617,0.00570904178329803,7
"psi - theta",-0.548792549599453,0.501047197266443,-1.53082701079642,0.43324191159751,0.273389113335483,7
"rho - (Intercept)",-1.07083389461673,0.138105000112818,-1.34151472092275,-0.800153068310704,8.92064373408063e-15,7
"rho - x",0.560146563749026,0.153729402598648,0.258842471290818,0.861450656207234,0.000268728029148137,7
"psi - (Intercept)",1.04179652180877,0.501677381350131,0.0585269225041473,2.02506612111339,0.037836049292356,8
"psi - x",1.30652081595972,0.316514381927597,0.686164026792672,1.92687760512676,3.66186306497613e-05,8
"psi - theta",-0.417688849618168,0.594330895537654,-1.58255599977141,0.74717830053507,0.482187637330321,8
"rho - (Intercept)",-0.938681727177979,0.124911645352993,-1.18350405331948,-0.693859401036473,5.70130199353658e-14,8
"rho - x",0.448954415194082,0.0979296373861554,0.25701585289815,0.640892977490013,4.55163214034854e-06,8
"psi - (Intercept)",0.388335229650309,0.304954105659363,-0.209363834379666,0.986034293680283,0.202868378336115,9
"psi - x",1.28088344546083,0.285373518694213,0.721561626678706,1.84020526424296,7.17448205217998e-06,9
"psi - theta",-0.0685050388492036,0.405851377784661,-0.863959122383098,0.726949044684691,0.865959140380673,9
"rho - (Intercept)",-0.945225997254528,0.127219134807277,-1.19457091962114,-0.69588107488792,1.08676274624498e-13,9
"rho - x",0.265606100097249,0.164642582015303,-0.0570874309744275,0.588299631168926,0.106694881075368,9
"psi - (Intercept)",1.21235206213001,0.569668542475975,0.0958222357516758,2.32888188850835,0.033322909712797,10
"psi - x",0.684874196548525,0.266199192173126,0.163133367175541,1.20661502592151,0.010088286237626,10
"psi - theta",-0.402325362993592,0.54555710728854,-1.47159764478898,0.6669469188018,0.460843975960602,10
"rho - (Intercept)",-1.08647999703751,0.135233910721533,-1.35153359154022,-0.821426402534801,9.42840084145141e-16,10
"rho - x",0.654577424660306,0.122975537249,0.413549800672802,0.89560504864781,1.02167290043759e-07,10
"psi - (Intercept)",0.467379782436735,0.307750763157088,-0.135800629565874,1.07056019443934,0.128839091672981,11
"psi - x",1.14813998164952,0.221239486394094,0.714518556358959,1.58176140694009,2.10769102224566e-07,11
"psi - theta",-0.460349697094573,0.428422699367609,-1.30004275801452,0.379343363825372,0.282588704890323,11
"rho - (Intercept)",-0.824639927753561,0.13370727969858,-1.0867013804336,-0.562578475073521,6.9377193648798e-10,11
"rho - x",0.516712630169296,0.105743807553774,0.309458575775765,0.723966684562828,1.02666433962512e-06,11
"psi - (Intercept)",0.534315011870739,0.313460759867214,-0.0800567880355597,1.14868681177704,0.0882751241458415,12
"psi - x",1.0739444051557,0.21817656976451,0.646326186146767,1.50156262416463,8.55051592830118e-07,12
"psi - theta",-0.18731612070884,0.426220577148057,-1.02269310138891,0.648060859971228,0.66031257841224,12
"rho - (Intercept)",-0.7896334316618,0.114969170783604,-1.0149688657301,-0.564297997593501,6.50084171899127e-12,12
