"parameter","Est","SE","lower","upper","p","simulation"
"rho - x",0.525881990239725,0.0869864651420473,0.355391651418863,0.696372329060586,1.48890906652968e-09,5
"psi - (Intercept)",0.590694875677639,0.294714412015386,0.0130652424025843,1.16832450895269,0.0450383771707923,6
"psi - x",0.275654310876091,0.226577085186754,-0.168428615812011,0.719737237564192,0.223755385934151,6
"psi - theta",0.643379963305102,0.417229118700742,-0.17437408264974,1.46113400925994,0.123066218936635,6
"rho - (Intercept)",-0.847072760291535,0.102742157143893,-1.04844368798752,-0.64570183259555,1.65649276055566e-16,6
"rho - x",0.552148112583542,0.113827564033289,0.329050186630369,0.775246038536715,1.23000637585472e-06,6
"psi - (Intercept)",0.513748123745449,0.290002185545027,-0.0546457153607057,1.0821419628516,0.076472292260541,7
"psi - x",0.186504988283004,0.25329996377211,-0.309953817995633,0.68296379456164,0.461547605860615,7
"psi - theta",0.960449036039281,0.491386445841849,-0.00265070030188508,1.92354877238045,0.05063388587382,7
"rho - (Intercept)",-0.95761273495,0.10891140782657,-1.17107517179563,-0.744150298104368,1.46158442635105e-18,7
"rho - x",0.551006868714219,0.115539883170911,0.324552858921268,0.77746087850717,1.85165202527814e-06,7
"psi - (Intercept)",0.660988222744797,0.292193789940006,0.0882989179561234,1.23367752753347,0.0236877059120934,8
"psi - x",0.524191243085163,0.205547563992521,0.121325420549879,0.927057065620447,0.0107655359994963,8
"psi - theta",0.52371929268824,0.418063023229034,-0.295669176108599,1.34310776148508,0.21030467946559,8
"rho - (Intercept)",-0.708268760386978,0.0968082989444187,-0.898009539722626,-0.51852798105133,2.55093672983701e-13,8
"rho - x",0.444780247978554,0.0897167313598251,0.268938685702642,0.620621810254466,7.13669337070315e-07,8
"psi - (Intercept)",-0.123885895786203,0.245029480171012,-0.604134852071958,0.356363060499551,0.613140374076655,9
"psi - x",0.150432654705972,0.220417287180385,-0.281577289737606,0.582442599149549,0.494928990725422,9
"psi - theta",2.33484750898569,0.535681449204843,1.28493116135797,3.3847638566134,1.30867701842375e-05,9
"rho - (Intercept)",-1.1052348282961,0.101538163487109,-1.30424597178717,-0.906223684805023,1.36017388139232e-27,9
"rho - x",0.433697167053786,0.102909208252532,0.231998825201292,0.63539550890628,2.50479748760602e-05,9
"psi - (Intercept)",0.446387570401694,0.264951123631225,-0.0729070895789264,0.965682230382314,0.0920286820451489,10
"psi - x",0.464258253577271,0.198763494955242,0.0746889620236875,0.853827545130853,0.019505214140081,10
"psi - theta",0.819120546043169,0.411823276265904,0.0119617565667093,1.62627933551963,0.0467001176136626,10
"rho - (Intercept)",-0.791177886533195,0.0953116670022994,-0.977985321164176,-0.604370451902213,1.03277556632627e-16,10
"rho - x",0.314932174464155,0.101273721573461,0.116439327599835,0.513425021328475,0.00187269420854624,10
"psi - (Intercept)",0.526778019398077,0.249468509290929,0.0378287259109614,1.01572731288519,0.0347206641121267,11
"psi - x",0.258526681366882,0.158863874756852,-0.0528407916010289,0.569894154334793,0.103663379169283,11
"psi - theta",0.614488010778694,0.353777198600446,-0.0789025570296537,1.30787857858704,0.082398638538022,11
"rho - (Intercept)",-0.695177879125063,0.0963041242896199,-0.883930494295387,-0.506425263954739,5.25378272464756e-13,11
"rho - x",0.441834560913687,0.0814656307202999,0.28216485872406,0.601504263103315,5.84202813524167e-08,11
"psi - (Intercept)",0.543443609472528,0.290188582546002,-0.0253155610423631,1.11220277998742,0.0611062758640503,12
"psi - x",0.521419863539806,0.168824002330145,0.190530899246816,0.852308827832796,0.00201141894743987,12
"psi - theta",0.742504984414321,0.396684141999979,-0.0349816471438112,1.51999161597245,0.0612372064419141,12
"rho - (Intercept)",-0.797368388472247,0.098906968656107,-0.991222484858248,-0.603514292086245,7.51779567302899e-16,12
"rho - x",0.370331321650986,0.0774080120797489,0.218614405859837,0.522048237442136,1.71714842222434e-06,12
"psi - (Intercept)",0.344112454939709,0.250896637736199,-0.147635918865434,0.835860828744853,0.17020956302992,13
"psi - x",0.402753559420663,0.190497741784933,0.0293848463859825,0.776122272455343,0.0344967396657085,13
"psi - theta",1.20803509273354,0.48071145991639,0.265857944341751,2.15021224112534,0.011970425690529,13
"rho - (Intercept)",-0.861304884496796,0.10650656795679,-1.07005392180907,-0.65255584718452,6.12170022439363e-16,13
"rho - x",0.640200987367319,0.0936069816060955,0.456734674717868,0.823667300016769,7.96121870980689e-12,13
