"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.367281732683478,0.298158842046085,-0.217098859399016,0.951662324765971,0.218011684153964,9
"psi - x",0.37820859442923,0.215152510502383,-0.0434825773388157,0.799899766197276,0.078770856837732,9
"psi - theta",0.029071893054071,0.394759824107057,-0.744643144739128,0.80278693084727,0.941293254947176,9
"rho - (Intercept)",-1.01244371710261,0.124307164913337,-1.25608128335303,-0.768806150852186,3.80244873505425e-16,9
"rho - x",0.428334857674482,0.135679556361491,0.162407813767587,0.694261901581377,0.00159423514231326,9
"psi - (Intercept)",0.766195756772866,0.321279326199123,0.13649984844529,1.39589166510044,0.0170871336648916,10
"psi - x",-0.0483076916302409,0.22450242555581,-0.488324360161513,0.391708976901031,0.82962955421598,10
"psi - theta",-0.215192253583867,0.360828883963572,-0.922403870734251,0.492019363566516,0.550919318183074,10
"rho - (Intercept)",-0.867166376493176,0.110685429887819,-1.08410583268664,-0.650226920299717,4.70665506827947e-15,10
"rho - x",0.652126905038414,0.111992988712569,0.432624680640778,0.871629129436051,5.7826104232171e-09,10
"psi - (Intercept)",0.642362447402333,0.276524383696452,0.100384614510152,1.18434028029451,0.0201798704619214,11
"psi - x",0.461879974835514,0.166248071596213,0.1360397420077,0.787720207663327,0.0054651266260326,11
"psi - theta",-0.190172762061106,0.380569982504466,-0.936076221366897,0.555730697244685,0.617282739228956,11
"rho - (Intercept)",-0.815911025163378,0.113659104419554,-1.03867877634078,-0.593143273985975,7.04389369203428e-13,11
"rho - x",0.55019225715367,0.0867931240171323,0.380080859974372,0.720303654332968,2.3107725448505e-10,11
"psi - (Intercept)",0.964453398500417,0.366032523513777,0.247042835243104,1.68186396175773,0.0084165933809677,12
"psi - x",0.410276088072525,0.187268851714763,0.0432358832854183,0.777316292859631,0.0284633740552775,12
"psi - theta",-0.475531114058718,0.41730465808751,-1.29343321449104,0.342370986373603,0.254482225809168,12
"rho - (Intercept)",-0.992522308815763,0.116265120758283,-1.2203977581602,-0.764646859471328,1.38090490090936e-17,12
"rho - x",0.430878723540261,0.086253879464689,0.261824226262612,0.599933220817911,5.86924493126642e-07,12
"psi - (Intercept)",0.63887145893662,0.302963868553548,0.045073187954739,1.2326697299185,0.0349671924055963,13
"psi - x",0.310559410855707,0.182151717244428,-0.0464513946654949,0.667570216376908,0.0882039132917087,13
"psi - theta",0.0911709004265362,0.386904165957143,-0.667147330317972,0.849489131171045,0.813710421667442,13
"rho - (Intercept)",-0.913652168443405,0.11028406017893,-1.12980495446296,-0.697499382423855,1.18571333947001e-16,13
"rho - x",0.404661604039601,0.0988445351298326,0.210929875116525,0.598393332962677,4.24140987585927e-05,13
"psi - (Intercept)",0.809843331192974,0.338501149815467,0.14639326882926,1.47329339355669,0.0167368128281756,14
"psi - x",0.363298659622413,0.185036255801406,0.000634262417515741,0.72596305682731,0.0496006707444403,14
"psi - theta",-0.907379711900794,0.36772384899662,-1.62810521219062,-0.186654211610973,0.0136038401370259,14
"rho - (Intercept)",-0.794553507242088,0.116404103987573,-1.02270135871039,-0.56640565577379,8.7424250097968e-12,14
"rho - x",0.428669914804357,0.10563780307249,0.221623625376343,0.635716204232371,4.95113983966824e-05,14
"psi - (Intercept)",0.469874768369783,0.276494319140908,-0.0720441390763197,1.01179367581589,0.0892436224147714,15
"psi - x",0.503326441708543,0.160209046494168,0.18932248058247,0.817330402834615,0.00167978351371116,15
"psi - theta",-0.178263322925022,0.361865276718504,-0.88750623254891,0.530979586698866,0.622278671870812,15
"rho - (Intercept)",-0.716003103062445,0.109541817156038,-0.930701119489352,-0.501305086635538,6.30404276218298e-11,15
"rho - x",0.33293990730723,0.0980177905019078,0.140828568079299,0.525051246535161,0.000681963777082053,15
"psi - (Intercept)",0.618126089589316,0.346388589208077,-0.0607830699141544,1.29703524909279,0.0743444926167652,16
"psi - x",0.158404195902025,0.219455444697372,-0.271720571916045,0.588528963720095,0.470413930442506,16
"psi - theta",0.0563541762910103,0.398486318233944,-0.724664655779486,0.837373008361506,0.887537677255423,16
"rho - (Intercept)",-0.961884590230308,0.124585295018542,-1.20606728146995,-0.717701898990667,1.15700555829173e-14,16
"rho - x",0.561255698179853,0.109837914365054,0.345977341887352,0.776534054472354,3.22407983628985e-07,16
"psi - (Intercept)",1.29426840169451,0.525327709994841,0.264645010023724,2.3238917933653,0.0137497628157686,17
"psi - x",-0.314337403259442,0.37193216807074,-1.04331105736999,0.414636250851106,0.398028698666445,17
"psi - theta",-0.119721800474987,0.429274886295611,-0.961085117081911,0.721641516131937,0.780326869868063,17
"rho - (Intercept)",-1.14396482310491,0.120478228554216,-1.38009781199236,-0.907831834217467,2.19789980514134e-21,17
"rho - x",0.739735108830444,0.104879588216776,0.534174893212171,0.945295324448716,1.74868460600213e-12,17
"psi - (Intercept)",0.428748370436957,0.281745014515108,-0.123461710836369,0.980958451710283,0.128069158854448,18
"psi - x",0.484056606129984,0.193757048634794,0.104299769055013,0.863813443204955,0.0124802581181683,18
"psi - theta",-0.152529140780251,0.391589182251154,-0.920029834728003,0.614971553167501,0.696896575692743,18
