"parameter","rmse","coverage","ci_width","signif","rel_bias","nsite","nseason","model","scenario","nconverged"
"rho - x",0.156400746546069,0.958105646630237,0.601307264471245,0.919854280510018,0.0275121455729763,100,6,"auto",1,549
"psi - (Intercept)",0.169371841182507,0.961818181818182,0.684324134282357,1,0.00537458001248925,100,8,"auto",1,550
"psi - x",0.140207147706407,0.952727272727273,0.55863387765596,1,0.0164706627231124,100,8,"auto",1,550
"psi - theta",0.280134403226565,0.947272727272727,1.07135277738391,0.952727272727273,-0.0238400686146422,100,8,"auto",1,550
"rho - (Intercept)",0.178134865632865,0.954545454545455,0.710292741611797,1,-0.00432085007514028,100,8,"auto",1,550
"rho - x",0.126008006232114,0.956363636363636,0.515584540910688,0.987272727272727,0.00208396663417365,100,8,"auto",1,550
"psi - (Intercept)",0.304170151210303,0.96,1.17621500778401,0.996363636363636,0.00297172751893411,30,10,"auto",1,550
"psi - x",0.249822915350048,0.961818181818182,0.940314028174067,0.989090909090909,0.0167480393136901,30,10,"auto",1,550
"psi - theta",0.463166767576603,0.94,1.78039109664164,0.590909090909091,-0.0323707268169371,30,10,"auto",1,550
"rho - (Intercept)",0.312775270991677,0.945454545454545,1.19482417077038,0.907272727272727,-0.0346005390977861,30,10,"auto",1,550
"rho - x",0.216610120457843,0.952727272727273,0.842988864548992,0.716363636363636,0.0431364698434906,30,10,"auto",1,550
"psi - (Intercept)",0.263731432574844,0.958105646630237,1.06611846668751,0.996357012750455,0.00925430311877873,30,12,"auto",1,549
"psi - x",0.214561276660599,0.958105646630237,0.853165699480973,0.994535519125683,0.016922536629314,30,12,"auto",1,549
"psi - theta",0.409997260115578,0.948998178506375,1.62484388513189,0.659380692167577,-0.0377591231256358,30,12,"auto",1,549
"rho - (Intercept)",0.298896429497751,0.950819672131147,1.08311126082576,0.958105646630237,-0.0369026829930226,30,12,"auto",1,549
"rho - x",0.204695945305302,0.95264116575592,0.762251984615537,0.788706739526412,0.0334048185275666,30,12,"auto",1,549
"psi - (Intercept)",1.75269041583021,0.970856102003643,2.85552561018693,0.852459016393443,0.0743531327434583,30,4,"auto",1,549
"psi - x",3.39609720239397,0.958105646630237,3.17830189201661,0.772313296903461,0.319562877814635,30,4,"auto",1,549
"psi - theta",1.95960434741659,0.965391621129326,6.89316566321243,0.191256830601093,-0.0179499850055447,30,4,"auto",1,549
"rho - (Intercept)",0.59241459049388,0.916211293260474,2.02890167101041,0.477231329690346,-0.0858164502655215,30,4,"auto",1,549
"rho - x",0.395478891932344,0.943533697632058,1.42260255642872,0.31511839708561,0.0923290666459122,30,4,"auto",1,549
"psi - (Intercept)",2.12398185726134,0.968978102189781,2.39753551871802,0.941605839416058,0.0930139973034931,30,6,"auto",1,548
"psi - x",2.80754724424878,0.968978102189781,2.49628678634708,0.89963503649635,0.216680366477183,30,6,"auto",1,548
"psi - theta",1.26444808293729,0.950729927007299,3.45365108903708,0.344890510948905,-0.0574817363284867,30,6,"auto",1,548
"rho - (Intercept)",0.452854511032307,0.941605839416058,1.58336183341645,0.724452554744526,-0.0766492476105691,30,6,"auto",1,548
"rho - x",0.299771935568465,0.948905109489051,1.11718983792861,0.456204379562044,0.067852376463829,30,6,"auto",1,548
"psi - (Intercept)",0.329435561956706,0.974545454545454,1.32730205173071,0.981818181818182,0.00225520694823882,30,8,"auto",1,550
"psi - x",0.280570909567807,0.967272727272727,1.06510336860826,0.976363636363636,0.0304446511944962,30,8,"auto",1,550
"psi - theta",0.541167535180311,0.949090909090909,2.02249257357448,0.456363636363636,-0.0365406386268651,30,8,"auto",1,550
"rho - (Intercept)",0.357953060721275,0.936363636363636,1.34603631589985,0.82,-0.0309294830650508,30,8,"auto",1,550
"rho - x",0.260075154479713,0.92,0.949219057064362,0.578181818181818,0.0287850654178596,30,8,"auto",1,550
"psi - (Intercept)",0.258596736624794,0.972727272727273,1.00740452532264,1,0.00773829793994719,40,10,"auto",1,550
"psi - x",0.206788624842447,0.963636363636364,0.810112775708685,0.998181818181818,0.00997928155155248,40,10,"auto",1,550
"psi - theta",0.382457826465398,0.950909090909091,1.54348977353256,0.734545454545455,-0.0125506471054413,40,10,"auto",1,550
"rho - (Intercept)",0.265393342418175,0.958181818181818,1.03081396611149,0.98,-0.0454538109741845,40,10,"auto",1,550
"rho - x",0.187415976608612,0.974545454545454,0.732116068022513,0.82,0.0490675097761148,40,10,"auto",1,550
"psi - (Intercept)",0.55897667231569,0.956284153005464,0.973864441059134,0.998178506375228,0.00774011018590862,40,12,"auto",1,549
"psi - x",0.19625511855459,0.945355191256831,0.728617832112598,1,0.0190474200196313,40,12,"auto",1,549
"psi - theta",0.643761433048183,0.972677595628415,1.46785097199298,0.808743169398907,-0.0390883256046861,40,12,"auto",1,549
"rho - (Intercept)",0.239696421129181,0.948998178506375,0.920639539349754,0.990892531876138,-0.00125995596188829,40,12,"auto",1,549
"rho - x",0.169402012774235,0.947176684881603,0.655072693844659,0.876138433515483,0.00320539914398199,40,12,"auto",1,549
"psi - (Intercept)",0.538186442959206,0.974499089253188,1.84329815710999,0.899817850637523,0.0364818565268467,40,4,"auto",1,549
"psi - x",2.8276659497676,0.963570127504554,1.96101016152591,0.80327868852459,0.122066755795743,40,4,"auto",1,549
"psi - theta",0.774343858366572,0.958105646630237,3.02148548299714,0.278688524590164,-0.0330811284882928,40,4,"auto",1,549
"rho - (Intercept)",0.498953698810082,0.947176684881603,1.77431427665354,0.657559198542805,-0.126990586601361,40,4,"auto",1,549
"rho - x",0.352434133172269,0.948998178506375,1.25139644396782,0.435336976320583,0.138877531529854,40,4,"auto",1,549
"psi - (Intercept)",0.35230286572284,0.956363636363636,1.31310309297922,0.981818181818182,-0.000871678710296351,40,6,"auto",1,550
"psi - x",0.277540435106374,0.961818181818182,1.05706440433709,0.969090909090909,0.0249490263852239,40,6,"auto",1,550
"psi - theta",0.523065132787934,0.969090909090909,2.04247492513648,0.470909090909091,0.00536071998389054,40,6,"auto",1,550
"rho - (Intercept)",0.362407666974487,0.934545454545455,1.335156094589,0.790909090909091,-0.0167818686576018,40,6,"auto",1,550
"rho - x",0.25172213928005,0.947272727272727,0.950801077828505,0.561818181818182,0.00977445060891702,40,6,"auto",1,550
"psi - (Intercept)",1.35142489912657,0.954545454545455,1.32898482966928,0.990909090909091,0.0387847514395641,40,8,"auto",1,550
"psi - x",0.556759307585798,0.963636363636364,0.959526095197729,0.989090909090909,-0.00508459769659708,40,8,"auto",1,550
"psi - theta",0.59475485799758,0.950909090909091,1.91848744348173,0.625454545454545,-0.0111011355044497,40,8,"auto",1,550
"rho - (Intercept)",0.341431297026153,0.947272727272727,1.15982432799237,0.921818181818182,-0.0494404548761868,40,8,"auto",1,550
"rho - x",0.229291269189532,0.941818181818182,0.824526894786429,0.701818181818182,0.0311658212223309,40,8,"auto",1,550
"psi - (Intercept)",0.227033140393841,0.95970695970696,0.882664182302835,1,-0.00414441593702801,50,10,"auto",1,546
"psi - x",0.192686877082225,0.93956043956044,0.716217674122002,0.998168498168498,0.0185120181426648,50,10,"auto",1,546
"psi - theta",0.350825884934607,0.948717948717949,1.36601347977507,0.80952380952381,-0.0385016400375995,50,10,"auto",1,546
"rho - (Intercept)",0.234646647816488,0.948717948717949,0.910231680348335,0.994505494505495,-0.00703988996403646,50,10,"auto",1,546
"rho - x",0.164493987453426,0.956043956043956,0.650673496412143,0.902930402930403,0.0138859963714868,50,10,"auto",1,546
"psi - (Intercept)",0.288584140170539,0.957875457875458,0.836652302964371,0.998168498168498,0.0036763455606457,50,12,"auto",1,546
"psi - x",0.341807300989237,0.948717948717949,0.700275287041184,0.998168498168498,0.0260561921581373,50,12,"auto",1,546
"psi - theta",0.427029584137839,0.946886446886447,1.35060664230172,0.875457875457875,-0.0169256256915415,50,12,"auto",1,546
"rho - (Intercept)",0.227378192017759,0.948717948717949,0.82534566958352,0.998168498168498,-0.0155564039543031,50,12,"auto",1,546
"rho - x",0.152318376504437,0.952380952380952,0.589837828853089,0.952380952380952,0.0221900997185376,50,12,"auto",1,546
"psi - (Intercept)",0.626121036691552,0.965454545454545,1.67112302289556,0.956363636363636,0.0281779752558935,50,4,"auto",1,550
"psi - x",0.310061245524241,0.981818181818182,1.21167184078997,0.929090909090909,0.0271162320701743,50,4,"auto",1,550
"psi - theta",0.947524761687347,0.947272727272727,2.95487920484273,0.350909090909091,-0.0513839396799088,50,4,"auto",1,550
"rho - (Intercept)",0.444668581132479,0.952727272727273,1.52682350345584,0.725454545454545,-0.0722116267955861,50,4,"auto",1,550
"rho - x",0.307089624816696,0.950909090909091,1.08855536349985,0.474545454545455,0.0517627676495325,50,4,"auto",1,550
"psi - (Intercept)",0.323406778313959,0.950909090909091,1.18276399347644,0.989090909090909,0.00367462253197474,50,6,"auto",1,550
"psi - x",0.254076818159022,0.943636363636364,0.951877070657365,0.98,0.0278663532024659,50,6,"auto",1,550
"psi - theta",0.457854698187312,0.956363636363636,1.79812501357412,0.561818181818182,-0.0539097771677614,50,6,"auto",1,550
"rho - (Intercept)",0.324056083375233,0.930909090909091,1.21129790360089,0.905454545454545,-0.0399714909282786,50,6,"auto",1,550
"rho - x",0.231773810519569,0.945454545454545,0.868499830966965,0.66,0.0372234660468833,50,6,"auto",1,550
"psi - (Intercept)",0.258331767513121,0.947176684881603,0.998831904291995,1,-0.000749144144484719,50,8,"auto",1,549
"psi - x",0.212263349757466,0.954462659380692,0.810023023249708,0.996357012750455,0.0295453388689637,50,8,"auto",1,549
"psi - theta",0.410674855176668,0.954462659380692,1.54322247065178,0.668488160291439,-0.0363258614920845,50,8,"auto",1,549
"rho - (Intercept)",0.266101148714838,0.950819672131147,1.02917474624332,0.967213114754098,-0.0228005658362079,50,8,"auto",1,549
"rho - x",0.197079101473603,0.941712204007286,0.736078023871267,0.766848816029144,0.010094984701954,50,8,"auto",1,549
"psi - (Intercept)",0.207648246551936,0.950909090909091,0.804828689318163,1,0.00133621741083367,60,10,"auto",1,550
"psi - x",0.172084272367005,0.943636363636364,0.65121171744748,1,0.0075649033679781,60,10,"auto",1,550
"psi - theta",0.327124217359068,0.950909090909091,1.24406516760529,0.876363636363636,-0.00904222149196809,60,10,"auto",1,550
"rho - (Intercept)",0.213201490414862,0.949090909090909,0.828872823489567,0.994545454545455,-0.0255143516430069,60,10,"auto",1,550
"rho - x",0.154849181322874,0.938181818181818,0.594978262894987,0.936363636363636,0.0247485277111306,60,10,"auto",1,550
"psi - (Intercept)",0.18742363530344,0.963636363636364,0.733441188626009,1,0.0036012141442045,60,12,"auto",1,550
"psi - x",0.143333555120666,0.949090909090909,0.59320189039081,1,0.000824352093403036,60,12,"auto",1,550
"psi - theta",0.293792396329499,0.963636363636364,1.1363307636131,0.936363636363636,-0.00250892399808578,60,12,"auto",1,550
"rho - (Intercept)",0.200007493935099,0.943636363636364,0.754066123525742,1,-0.0314350916141499,60,12,"auto",1,550
"rho - x",0.137975214935729,0.947272727272727,0.540346108874532,0.978181818181818,0.0439430408015031,60,12,"auto",1,550
"psi - (Intercept)",0.537744838541178,0.967272727272727,1.40339591970928,0.981818181818182,0.0107876861458495,60,4,"auto",1,550
"psi - x",2.0131085808844,0.950909090909091,1.42470359401977,0.954545454545455,0.108039293964503,60,4,"auto",1,550
"psi - theta",1.74080401552952,0.950909090909091,2.53237331806993,0.467272727272727,-0.0352607774552876,60,4,"auto",1,550
"rho - (Intercept)",0.398107427505665,0.949090909090909,1.37919433393677,0.814545454545455,-0.0475967526549687,60,4,"auto",1,550
"rho - x",0.276626409770882,0.943636363636364,0.988628429603143,0.547272727272727,0.0431765817546765,60,4,"auto",1,550
"psi - (Intercept)",0.289556763617137,0.932727272727273,1.06132473385288,1,0.00238347284891014,60,6,"auto",1,550
"psi - x",0.231351981691219,0.96,0.857166772865183,0.996363636363636,0.0152027933089856,60,6,"auto",1,550
"psi - theta",0.453044240843276,0.925454545454545,1.64484957922005,0.641818181818182,-0.0134642224665736,60,6,"auto",1,550
"rho - (Intercept)",0.285623467093962,0.958181818181818,1.09569065981635,0.956363636363636,-0.0420329789128831,60,6,"auto",1,550
"rho - x",0.206654200690465,0.943636363636364,0.786062300603651,0.749090909090909,0.0496015105770009,60,6,"auto",1,550
"psi - (Intercept)",0.237681061993472,0.947176684881603,0.90265808975425,1,-0.000721526085495632,60,8,"auto",1,549
"psi - x",0.188722493989927,0.954462659380692,0.730849668381417,1,0.0120661845859105,60,8,"auto",1,549
"psi - theta",0.365470308313952,0.95264116575592,1.40071075569034,0.772313296903461,-0.0234969156851206,60,8,"auto",1,549
"rho - (Intercept)",0.231680614961307,0.950819672131147,0.933845724060755,0.985428051001822,-0.0192629704534396,60,8,"auto",1,549
"rho - x",0.173479763443352,0.954462659380692,0.670879524108545,0.888888888888889,0.0314521412283901,60,8,"auto",1,549
"psi - (Intercept)",0.183633613883716,0.96,0.734609228631505,1,-0.00407751150890193,70,10,"auto",1,550
"psi - x",0.155049021288344,0.954545454545455,0.598121645627042,1,0.0128545738986388,70,10,"auto",1,550
"psi - theta",0.286588656413134,0.96,1.14772351057451,0.938181818181818,-0.00248620489330798,70,10,"auto",1,550
"rho - (Intercept)",0.189025781040589,0.956363636363636,0.759650693818189,0.998181818181818,-0.00142446828703198,70,10,"auto",1,550
"rho - x",0.135857714188174,0.965454545454545,0.547820261587264,0.965454545454545,-4.66463239755521e-05,70,10,"auto",1,550
"psi - (Intercept)",0.170172090533287,0.954545454545455,0.671095737038922,1,0.000237081301763511,70,12,"auto",1,550
"psi - x",0.147526124799784,0.943636363636364,0.545374519873249,1,0.00447251266753312,70,12,"auto",1,550
"psi - theta",0.254619121755658,0.96,1.04639635032505,0.981818181818182,0.00843394954399823,70,12,"auto",1,550
"rho - (Intercept)",0.174604624625278,0.96,0.691854255100408,1,-0.01121659722829,70,12,"auto",1,550
"rho - x",0.125436863565233,0.961818181818182,0.49952780411032,0.990909090909091,0.0158445866062016,70,12,"auto",1,550
"psi - (Intercept)",0.305650163863141,0.96,1.20787453534216,0.994545454545455,0.00329507442779987,70,4,"auto",1,550
"psi - x",0.250790893301166,0.970909090909091,0.973941953807006,0.981818181818182,0.0050516447075728,70,4,"auto",1,550
"psi - theta",0.519921187648578,0.945454545454545,1.95102743488841,0.561818181818182,0.0360474533435793,70,4,"auto",1,550
"rho - (Intercept)",0.324625839951697,0.96,1.25706380648228,0.896363636363636,-0.0441805769139721,70,4,"auto",1,550
"rho - x",0.232973920453065,0.961818181818182,0.904288785240426,0.616363636363636,0.0303309256257676,70,4,"auto",1,550
"psi - (Intercept)",0.264785936616941,0.941391941391941,0.962762925434804,1,-0.00300067206121578,70,6,"auto",1,546
"psi - x",0.2093768219665,0.956043956043956,0.781966874733891,0.996336996336996,0.0161513830535693,70,6,"auto",1,546
"psi - theta",0.384095408224365,0.950549450549451,1.51887279616636,0.747252747252747,0.00577113879381241,70,6,"auto",1,546
"rho - (Intercept)",0.266413625630331,0.945054945054945,0.99720076333428,0.957875457875458,-0.0126336000018734,70,6,"auto",1,546
"rho - x",0.193738569235048,0.937728937728938,0.717762565417771,0.787545787545788,0.00780265320248352,70,6,"auto",1,546
"psi - (Intercept)",0.554403220949909,0.963570127504554,1.04117765041291,0.998178506375228,0.0190562999510385,70,8,"auto",1,549
"psi - x",0.172261151365991,0.959927140255009,0.673460276017638,1,0.00126075244451718,70,8,"auto",1,549
"psi - theta",0.616227563421268,0.956284153005464,1.50420131416192,0.885245901639344,-0.0153803381018944,70,8,"auto",1,549
"rho - (Intercept)",0.221657068545158,0.959927140255009,0.857020036659141,0.994535519125683,-0.0319867825022113,70,8,"auto",1,549
"rho - x",0.163843446787357,0.947176684881603,0.617691801956572,0.923497267759563,0.0324675245739829,70,8,"auto",1,549
"psi - (Intercept)",0.176674667016662,0.950819672131147,0.689765925475727,1,-0.00121860825731144,80,10,"auto",1,549
"psi - x",0.147947739214616,0.948998178506375,0.561457077379624,1,0.0115164113310657,80,10,"auto",1,549
"psi - theta",0.280643959159973,0.948998178506375,1.0741314628847,0.95264116575592,-0.0203970432785729,80,10,"auto",1,549
"rho - (Intercept)",0.179011779658863,0.947176684881603,0.713461063802692,1,-0.0100674170609808,80,10,"auto",1,549
"rho - x",0.128070909116198,0.958105646630237,0.515223058050212,0.985428051001822,0.0138969918132894,80,10,"auto",1,549
"psi - (Intercept)",0.161495635471404,0.943636363636364,0.629155994435152,1,0.00440231398449744,80,12,"auto",1,550
"psi - x",0.138872952901284,0.938181818181818,0.512603221655705,1,0.00606576604926512,80,12,"auto",1,550
"psi - theta",0.253278382356145,0.945454545454545,0.979925040310177,0.976363636363636,-0.0114777139980455,80,12,"auto",1,550
"rho - (Intercept)",0.1698127014564,0.945454545454545,0.649507894463936,1,-0.0199513089454771,80,12,"auto",1,550
"rho - x",0.124732830874155,0.945454545454545,0.468948269322402,0.994545454545455,0.0150456088475974,80,12,"auto",1,550
"psi - (Intercept)",0.285214153016141,0.963636363636364,1.13905672660183,0.996363636363636,-0.00305322695124237,80,4,"auto",1,550
"psi - x",0.24221870212478,0.945454545454545,0.918661722255109,0.992727272727273,0.0192975236485291,80,4,"auto",1,550
"psi - theta",0.578275018594299,0.938181818181818,1.86521412925486,0.572727272727273,0.00769302377243775,80,4,"auto",1,550
"rho - (Intercept)",0.325975492414054,0.936363636363636,1.18836237985955,0.912727272727273,-0.0495615037167553,80,4,"auto",1,550
"rho - x",0.232837871008317,0.938181818181818,0.857052882973545,0.687272727272727,0.0480328101241652,80,4,"auto",1,550
"psi - (Intercept)",0.240785508912068,0.95970695970696,0.908839818543423,1,0.00737849037342644,80,6,"auto",1,546
"psi - x",0.192824305665292,0.954212454212454,0.735492265508104,0.998168498168498,0.00382292907304382,80,6,"auto",1,546
"psi - theta",0.366008056927392,0.950549450549451,1.41006782434748,0.804029304029304,-0.0182359344083365,80,6,"auto",1,546
"rho - (Intercept)",0.254111219114097,0.952380952380952,0.944970571024482,0.989010989010989,-0.0410364865723387,80,6,"auto",1,546
"rho - x",0.185318491449639,0.941391941391941,0.681592252654483,0.886446886446886,0.0493686202349426,80,6,"auto",1,546
"psi - (Intercept)",0.583630850658702,0.958029197080292,0.816354728835927,0.998175182481752,0.0134389125563618,80,8,"auto",1,548
"psi - x",0.817678275141395,0.941605839416058,0.702326524416929,0.998175182481752,0.0483397726116017,80,8,"auto",1,548
"psi - theta",0.478135053577813,0.954379562043796,1.23747639975469,0.910583941605839,-0.0276183901166269,80,8,"auto",1,548
"rho - (Intercept)",0.206615338397208,0.967153284671533,0.803456023447092,1,-0.0219605129534513,80,8,"auto",1,548
"rho - x",0.144977686272233,0.961678832116788,0.580449477917341,0.963503649635037,0.0242887561632272,80,8,"auto",1,548
"psi - (Intercept)",0.162856919392457,0.956363636363636,0.64425868369842,1,0.001462798646641,90,10,"auto",1,550
"psi - x",0.13851814539667,0.949090909090909,0.525226323996662,1,0.00300920760718149,90,10,"auto",1,550
"psi - theta",0.259974429729433,0.941818181818182,1.00777789766424,0.963636363636364,-0.0101784672620751,90,10,"auto",1,550
"rho - (Intercept)",0.166740936961589,0.96,0.667285933779654,1,-0.00379128912781678,90,10,"auto",1,550
"rho - x",0.12359249149041,0.961818181818182,0.483355929983603,0.994545454545455,-0.00318508330269629,90,10,"auto",1,550
"psi - (Intercept)",0.156777144143586,0.949090909090909,0.590839545513279,1,0.00625224628785009,90,12,"auto",1,550
"psi - x",0.130174407001178,0.934545454545455,0.481315067154263,1,0.000337370543367799,90,12,"auto",1,550
"psi - theta",0.2266488890947,0.963636363636364,0.919001789043579,0.994545454545455,-0.0158617570949238,90,12,"auto",1,550
"rho - (Intercept)",0.158119485047739,0.947272727272727,0.610748758504101,1,-0.01722659087971,90,12,"auto",1,550
"rho - x",0.116558180514997,0.947272727272727,0.441807995205119,0.998181818181818,0.0198475384334784,90,12,"auto",1,550
"psi - (Intercept)",0.268477429559383,0.96,1.06361357662877,0.998181818181818,0.0103496107244549,90,4,"auto",1,550
"psi - x",0.227859520110836,0.947272727272727,0.860651812379947,0.983636363636364,0.0131111670169348,90,4,"auto",1,550
"psi - theta",0.435697187629452,0.952727272727273,1.68199491768649,0.621818181818182,-0.0375648675150908,90,4,"auto",1,550
"rho - (Intercept)",0.292051415498534,0.956363636363636,1.11471003836617,0.952727272727273,-0.0535932819394157,90,4,"auto",1,550
"rho - x",0.204787142900502,0.961818181818182,0.806388906053466,0.761818181818182,0.0564832074197761,90,4,"auto",1,550
"psi - (Intercept)",2.63498035984559,0.956124314442413,1.92210006085248,0.994515539305302,0.106168137172355,90,6,"auto",1,547
"psi - x",2.32691101992941,0.954296160877514,1.70209423533952,0.992687385740402,0.176703777297309,90,6,"auto",1,547
"psi - theta",0.418930023799014,0.945155393053016,1.61444654137985,0.859232175502742,0.00872561899932212,90,6,"auto",1,547
"rho - (Intercept)",0.267345378683561,0.952468007312614,0.875201599832463,1,-0.0120958432024585,90,6,"auto",1,547
"rho - x",0.173903711040016,0.946983546617916,0.63417409349329,0.925045703839122,0.0284271790374593,90,6,"auto",1,547
"psi - (Intercept)",0.186182130342112,0.947272727272727,0.72496634885998,1,0.000468114744295176,90,8,"auto",1,550
"psi - x",0.158385274056004,0.949090909090909,0.590535506027181,1,0.0112892879778963,90,8,"auto",1,550
"psi - theta",0.293195729191108,0.958181818181818,1.13602993263636,0.921818181818182,-0.0121583476512231,90,8,"auto",1,550
"rho - (Intercept)",0.191646872569274,0.958181818181818,0.752026128960074,1,-0.00979744635671249,90,8,"auto",1,550
"rho - x",0.138246966294173,0.947272727272727,0.544583961067174,0.972727272727273,-0.00451188952004822,90,8,"auto",1,550
"psi - (Intercept)",0.146712130462467,0.952727272727273,0.566515600078475,1,0.00320993666741982,100,10,"auto",2,550
"psi - x",0.119328729552018,0.949090909090909,0.471657706029171,1,0.0140306606081506,100,10,"auto",2,550
"psi - theta",0.256181910592972,0.94,0.963069610411342,0.978181818181818,-0.0139456567673549,100,10,"auto",2,550
"rho - (Intercept)",0.128242338444222,0.949090909090909,0.523148958869679,1,-0.00223458473229724,100,10,"auto",2,550
"rho - x",0.0960062462470726,0.945454545454545,0.39052632429227,1,0.00518684123823743,100,10,"auto",2,550
"psi - (Intercept)",0.137235142607255,0.945454545454545,0.521421851299184,1,0.00953484846099131,100,12,"auto",2,550
"psi - x",0.115546274683749,0.950909090909091,0.432035254439385,1,0.00626915548407392,100,12,"auto",2,550
"psi - theta",0.230560480912643,0.954545454545455,0.885243013457559,0.990909090909091,-0.0171593200154188,100,12,"auto",2,550
"rho - (Intercept)",0.133591265998281,0.938181818181818,0.477902429695948,1,-0.0157982371668366,100,12,"auto",2,550
"rho - x",0.0984297329170299,0.941818181818182,0.356363979437216,1,0.010778341071747,100,12,"auto",2,550
"psi - (Intercept)",1.81122318957756,0.966542750929368,1.55327951157104,0.996282527881041,0.0768637831842761,100,4,"auto",2,538
"psi - x",1.88547869807746,0.970260223048327,1.47120281452654,0.996282527881041,0.0979982074780972,100,4,"auto",2,538
"psi - theta",0.49510758672302,0.95724907063197,2.17411044518736,0.695167286245353,-0.00681978098198077,100,4,"auto",2,538
"rho - (Intercept)",0.219393165333004,0.964684014869889,0.846379930161733,1,-0.00774961407716194,100,4,"auto",2,538
"rho - x",0.162396467497315,0.951672862453532,0.631709179068342,0.905204460966543,0.00853809714016984,100,4,"auto",2,538
"psi - (Intercept)",0.190917840991831,0.941712204007286,0.72943780857362,0.998178506375228,0.0176713073821833,100,6,"auto",2,549
"psi - x",0.158727432927583,0.95264116575592,0.609185819409061,1,0.0111295955281638,100,6,"auto",2,549
"psi - theta",0.313207017104254,0.954462659380692,1.24746864798159,0.888888888888889,-0.0132156294019334,100,6,"auto",2,549
"rho - (Intercept)",0.175489229535208,0.950819672131147,0.684741767322603,1,-0.0186333457273099,100,6,"auto",2,549
"rho - x",0.128957491172067,0.965391621129326,0.511484365743067,0.989071038251366,0.0309789682371433,100,6,"auto",2,549
"psi - (Intercept)",0.155249543856187,0.965454545454545,0.629895685648299,1,0.00711091390179588,100,8,"auto",2,550
"psi - x",0.132969937068429,0.952727272727273,0.525209556916903,1,0.00960231198260497,100,8,"auto",2,550
"psi - theta",0.27483546615414,0.952727272727273,1.07293641831567,0.949090909090909,-0.0137002408666625,100,8,"auto",2,550
"rho - (Intercept)",0.150121823952081,0.958181818181818,0.586446673821487,1,-0.00246902837478068,100,8,"auto",2,550
"rho - x",0.111412601271118,0.950909090909091,0.437908047135231,1,0.0144640077938267,100,8,"auto",2,550
"psi - (Intercept)",2.69545096781871,0.967272727272727,1.47382614169804,0.969090909090909,0.104486197627628,30,10,"auto",2,550
"psi - x",1.78322908653043,0.970909090909091,1.15832043732734,0.994545454545455,0.10974764540825,30,10,"auto",2,550
"psi - theta",2.27760981827566,0.945454545454545,2.27908290386241,0.567272727272727,-0.0865255670429661,30,10,"auto",2,550
"rho - (Intercept)",0.261954716054229,0.96,0.983300685472172,0.983636363636364,-0.0357437127697564,30,10,"auto",2,550
"rho - x",0.178120526780428,0.952727272727273,0.713572533943197,0.854545454545454,0.0339173202195078,30,10,"auto",2,550
"psi - (Intercept)",2.55400589326741,0.965201465201465,1.65729314007313,0.965201465201465,0.160528334987716,30,12,"auto",2,546
"psi - x",2.17762073291567,0.952380952380952,1.4104152314496,0.989010989010989,0.187435264426633,30,12,"auto",2,546
"psi - theta",1.15252848513392,0.954212454212454,2.61650190744648,0.628205128205128,-0.0280455386913346,30,12,"auto",2,546
