"parameter","Est","SE","lower","upper","p","simulation"
"psi - theta",-1.71804857338159,0.464718590384749,-2.62888027348192,-0.807216873281257,0.000218192022694727,14
"rho - (Intercept)",-0.96879759386308,0.122830775848389,-1.20954149071904,-0.728053697007125,3.08906948602665e-15,14
"rho - x",0.501335988361276,0.106011148529295,0.293557955284132,0.70911402143842,2.25531270907882e-06,14
"psi - (Intercept)",1.73335717350587,0.547973350906389,0.659349141241618,2.80736520577012,0.00156037390406335,15
"psi - x",-0.293049466283654,0.25003773317167,-0.783114418076163,0.197015485508855,0.241188637557573,15
"psi - theta",-1.83765316539637,0.457772843329635,-2.73487145142295,-0.940434879369789,5.96138391920208e-05,15
"rho - (Intercept)",-0.9992242602117,0.112250932403058,-1.21923204495273,-0.779216475470667,5.49971552348746e-19,15
"rho - x",0.60542133356623,0.0916355111957702,0.425819031917604,0.785023635214857,3.92604959039836e-11,15
"psi - (Intercept)",1.01492763034898,0.354512438121281,0.320096019559784,1.70975924113817,0.00419805557086401,16
"psi - x",0.128309150953167,0.179691981584566,-0.223880661263217,0.480498963169552,0.475195947289264,16
"psi - theta",-1.57374130218611,0.34671458609633,-2.25328940384962,-0.894193200522587,5.65187018693165e-06,16
"rho - (Intercept)",-0.871675853398753,0.1169462319956,-1.1008862562378,-0.64246545055971,9.07951875739244e-14,16
"rho - x",0.570641003984914,0.0899909538958048,0.394261975414732,0.747020032555096,2.28140826647418e-10,16
"psi - (Intercept)",1.56964033200753,0.40369424431665,0.778414152380782,2.36086651163428,0.000100994135026145,17
"psi - x",-0.810198342701297,0.280731454813523,-1.36042188346334,-0.259974801939258,0.00390139638469398,17
"psi - theta",-2.16494939095227,0.388304059045284,-2.92601136173174,-1.4038874201728,2.4696561309781e-08,17
"rho - (Intercept)",-1.07071818303549,0.105862991698047,-1.27820583405933,-0.863230532011658,4.77964628072488e-24,17
"rho - x",0.608185899229721,0.102457216551805,0.407373444831962,0.80899835362748,2.92062200997957e-09,17
"psi - (Intercept)",2.39326152672023,0.795362382836148,0.834379901703421,3.95214315173704,0.00262091634708929,18
"psi - x",-0.909578706728147,0.409466102863864,-1.71211752123129,-0.107039892225001,0.0263254170880684,18
"psi - theta",-2.27653399728355,0.68889042674962,-3.62673442300723,-0.926333571559866,0.000950988912103116,18
