"parameter","Est","SE","lower","upper","p","simulation"
"psi - x",-1.05895548761523,0.496711062849403,-2.03249128152267,-0.0854196937077903,0.0330122255629303,7
"psi - theta",-4.88751857549139,1.76125625884784,-8.33951741037892,-1.43551974060386,0.0055198579961445,7
"rho - (Intercept)",-1.24088889304435,0.120696902384389,-1.4774504747633,-1.0043273113254,8.5802563518722e-25,7
"rho - x",0.828928060057244,0.116432503014785,0.600724547518414,1.05713157259608,1.08408044595033e-12,7
"psi - (Intercept)",2.2276443498903,1.2363265007452,-0.195511064702733,4.65079976448333,0.0715728982096534,8
"psi - x",-0.182279245367552,0.380569069838374,-0.928180915880674,0.563622425145569,0.631963563906833,8
"psi - theta",-3.26273680782963,1.18757207722762,-5.59033530824119,-0.935138307418075,0.00600696260729405,8
"rho - (Intercept)",-1.02930901509977,0.145966419395502,-1.31539794006722,-0.743220090132313,1.76765705729433e-12,8
"rho - x",0.683654421513686,0.143825383219711,0.401761850340382,0.965546992686991,2.00059538411694e-06,8
"psi - (Intercept)",4.2187376154837,2.01840536928425,0.262735785484298,8.17473944548309,0.0366057674617226,9
"psi - x",-1.79333043981941,0.838084527379072,-3.43594592948266,-0.150714950156153,0.0323712064152526,9
"psi - theta",-4.04250223397894,1.61892709635392,-7.21554103642864,-0.869463431529247,0.0125239952102195,9
"rho - (Intercept)",-1.41020533054042,0.140735235276173,-1.68604132303749,-1.13436933804335,1.24160833193212e-23,9
"rho - x",0.786063291301506,0.132499912423696,0.526368234996351,1.04575834760666,2.98252679563852e-09,9
"psi - (Intercept)",1.98676012591825,0.722273756060847,0.571129577060523,3.40239067477598,0.00594676487647721,10
"psi - x",-0.336695833139968,0.314489782993376,-0.953084481312802,0.279692815032866,0.284344930225705,10
"psi - theta",-2.890937550541,0.655167230381497,-4.17504172593959,-1.60683337514241,1.02175042159587e-05,10
"rho - (Intercept)",-1.10744741240803,0.136404501273087,-1.37479532223242,-0.840099502583628,4.70629503015988e-16,10
"rho - x",0.62224692896943,0.12254411355407,0.382064879886066,0.862428978052794,3.81954457513121e-07,10
"psi - (Intercept)",1.75472598721913,0.974131945490477,-0.154537542132138,3.6639895165704,0.0716520318039903,11
"psi - x",-0.492724938809838,0.383202364326751,-1.24378777168087,0.25833789406119,0.198509828729503,11
"psi - theta",-2.20109437608465,0.886431003993206,-3.93846721869101,-0.463721533478284,0.0130245529401701,11
"rho - (Intercept)",-0.905740445324355,0.155943911687919,-1.21138489584097,-0.60009599480774,6.3179456475472e-09,11
"rho - x",0.421932535843838,0.130236369530583,0.166673942086646,0.67719112960103,0.00119636931921712,11
"psi - (Intercept)",3.24178674330591,1.32146237075643,0.651768089698395,5.83180539691343,0.014159896127249,12
"psi - x",-1.24213273641893,0.696840326605338,-2.60791467954052,0.123649206702663,0.0746642582186546,12
"psi - theta",-4.10692737424182,1.12363698561831,-6.30921539775086,-1.90463935073278,0.000257151475357755,12
"rho - (Intercept)",-1.15645462602589,0.138116589965652,-1.42715816802605,-0.885751084025723,5.61543538857526e-17,12
"rho - x",0.709993107194241,0.151764961769374,0.412539248011171,1.00744696637731,2.89345971216931e-06,12
"psi - (Intercept)",3.76985410916321,2.47848186013068,-1.08788107302876,8.62758929135519,0.128251413506456,13
"psi - x",-1.12842561590082,0.956746140468039,-3.00361359356588,0.746762361764231,0.23822262085229,13
"psi - theta",-3.48821186488743,1.96429041541797,-7.33815033428388,0.361726604509018,0.0757637938538017,13
"rho - (Intercept)",-1.4438597858126,0.161541184279124,-1.76047468901964,-1.12724488260557,3.96173216608552e-19,13
"rho - x",0.976141066388725,0.154062260221869,0.674184584977023,1.27809754780043,2.35781116577499e-10,13
"psi - (Intercept)",3.68861048709945,1.24839207271522,1.24180698599231,6.13541398820658,0.00312984248868341,14
"psi - x",-1.09877884765177,0.412625868458892,-1.90751068892076,-0.290047006382778,0.00774718710326797,14
"psi - theta",-3.32993030405936,1.08301604746715,-5.45260275177389,-1.20725785634482,0.00210726872518468,14
"rho - (Intercept)",-1.40124296427412,0.126496931469728,-1.64917239410961,-1.15331353443862,1.61695989480381e-28,14
"rho - x",0.740595591382547,0.113979098101524,0.517200664113202,0.963990518651891,8.15876414412182e-11,14
"psi - (Intercept)",9.99215215621274,10.8240420912547,-11.2225805097922,31.2068848222176,0.35593204022811,15
"psi - x",-1.18069478618038,0.470704053085773,-2.10325777760552,-0.258131794755232,0.0121293337555624,15
"psi - theta",-10.1313374674004,10.8126238816145,-31.3236908537426,11.0610159189417,0.348762892295186,15
"rho - (Intercept)",-1.24152256520718,0.112862152510585,-1.46272831934559,-1.02031681106877,3.80674564959051e-28,15
"rho - x",0.692647505417054,0.10278630717851,0.491190045243304,0.894104965590805,1.59794811737704e-11,15
"psi - (Intercept)",0.926799317811011,0.525132920625453,-0.102442293711208,1.95604092933323,0.0775830621287471,16
"psi - x",0.052960896708861,0.291857911840656,-0.51907009910189,0.624991892519612,0.856005559098968,16
"psi - theta",-1.91407297719165,0.48888153902497,-2.87226318638711,-0.955882767996198,9.03262540380206e-05,16
